#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,object
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:29.067334Z,25.39,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:29.56689Z,25.4,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:30.071974Z,25.43,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:30.824607Z,25.42,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:31.073018Z,25.43,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:31.831218Z,25.42,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:32.081162Z,25.44,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:32.331735Z,25.46,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:32.581226Z,25.45,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:32.831849Z,25.46,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:33.582685Z,25.45,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:33.839943Z,25.44,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:34.838315Z,25.45,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:35.09374Z,25.44,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:35.339406Z,25.45,temperature,raspberrypi,extruder
,,0,2024-02-22T01:12:08.030080268Z,2024-02-22T02:12:08.030080268Z,2024-02-22T01:43:35.590838Z,25.46,temperature,raspberrypi,extruder
